batch_size,cl_decay_steps,epochs,filter_type,base_lr,lr_decay_ratio,max_diffusion_step,max_grad_norm,num_encoder_layers,num_decoder_layers,rnn_units,objective
32,1947,42,laplacian,0.007,0.101,1,1,2,2,29,2.352566541
16,1090,33,laplacian,0.009,0.101,2,4,2,1,18,2.244113478
128,1669,32,laplacian,0.01,0.142,1,4,2,2,14,2.284370571
64,1388,60,random_walk,0.01,0.043,1,2,4,2,32,2.321759117
8,1783,36,laplacian,0.005,0.102,2,2,2,1,32,2.295385728
16,1803,31,laplacian,0.01,0.092,2,4,2,2,10,2.318975256
128,1430,53,laplacian,0.01,0.089,3,9,2,2,22,2.253137356
128,1298,95,laplacian,0.01,0.025,1,6,5,1,30,2.3537657
32,1918,63,laplacian,0.009,0.126,2,2,2,2,32,2.319597827
32,1442,25,laplacian,0.01,0.063,3,7,1,1,23,2.286054006
128,1863,50,random_walk,0.01,0.085,1,1,3,2,21,2.299678648
128,1785,95,laplacian,0.01,0.051,4,2,3,1,32,2.340991168
128,1251,95,laplacian,0.01,0.025,3,6,3,2,29,2.336531286
32,1289,31,laplacian,0.009,0.133,3,7,1,1,31,2.200458672
64,1369,55,laplacian,0.008,0.025,2,3,2,2,28,2.35077638
32,1417,41,laplacian,0.009,0.028,2,9,5,2,17,2.296794488
128,1065,50,dual_random_walk,0.01,0.073,1,5,3,1,32,2.315932614
32,1544,36,laplacian,0.01,0.117,2,10,3,1,14,2.265008729
64,1642,71,laplacian,0.007,0.055,3,6,2,1,28,2.270742224
64,1982,61,laplacian,0.01,0.028,3,4,3,1,32,2.2569047
64,1616,90,laplacian,0.01,0.025,2,8,4,1,30,2.3537657
128,1624,90,laplacian,0.01,0.109,1,4,4,2,26,2.277964613
8,1431,63,laplacian,0.007,0.145,3,3,1,1,16,2.34812242
128,1609,47,laplacian,0.01,0.1,3,5,1,2,32,2.297389513
64,1081,52,dual_random_walk,0.005,0.125,1,8,1,1,32,2.237967597
16,1296,39,random_walk,0.01,0.077,1,4,3,2,11,2.321882071
128,1784,54,laplacian,0.01,0.025,1,4,2,1,20,2.293077273
64,1101,85,dual_random_walk,0.01,0.025,2,9,5,2,20,2.272059563
128,1049,57,laplacian,0.01,0.082,2,4,5,2,23,2.305095561
128,1206,33,random_walk,0.009,0.031,3,5,5,2,32,2.3537657
64,1393,95,laplacian,0.008,0.06,1,4,5,2,16,2.297478433
